SBBE		kpi01: 77.01990845019255 (55052 voos) 	kpi14: 87.61176128516391 (55028 voos) 
SBBH		kpi01: 58.333333333333336 (48 voos) 	kpi14: 65.9090909090909 (44 voos) 
SBBI		kpi01: 66.62721893491124 (845 voos) 	kpi14: 53.979238754325266 (867 voos) 
SBBR		kpi01: 87.2336403787816 (216906 voos) 	kpi14: 94.76846149267126 (218387 voos) 
SBBV		kpi01: 67.92514416276792 (9191 voos) 	kpi14: 61.54605263157895 (9120 voos) 
SBCF		kpi01: 88.62642108293718 (142409 voos) 	kpi14: 96.34949207588022 (158882 voos) 
SBCG		kpi01: 85.64029006295323 (25098 voos) 	kpi14: 76.33698453608247 (24832 voos) 
SBCO		kpi01: 63.707841920132424 (4833 voos) 	kpi14: 34.61538461538461 (4836 voos) 
SBCT		kpi01: 89.00435615180461 (89299 voos) 	kpi14: 93.02328185717326 (89297 voos) 
SBCY		kpi01: 88.36725564750616 (44710 voos) 	kpi14: 92.94120279219617 (44696 voos) 
SBEG		kpi01: 81.71090877591483 (51949 voos) 	kpi14: 91.63746968005236 (51946 voos) 
SBFI		kpi01: 85.90208341632474 (25103 voos) 	kpi14: 77.74280933790136 (25102 voos) 
SBFL		kpi01: 87.0945411392405 (50560 voos) 	kpi14: 83.56080386106495 (50556 voos) 
SBFZ		kpi01: 85.58888563284226 (75074 voos) 	kpi14: 91.21716089000147 (75101 voos) 
SBGL		kpi01: 74.16434492006475 (143929 voos) 	kpi14: 80.663560579153 (143589 voos) 
SBGR		kpi01: 84.86010217404639 (456476 voos) 	kpi14: 67.33076193542593 (456561 voos) 
SBJD		kpi01: NaN (0 voos) 	kpi14: 0.0 (12 voos) 
SBJP		kpi01: 42.96807592752373 (1159 voos) 	kpi14: 95.32312925170068 (1176 voos) 
SBJV		kpi01: 67.11822660098522 (812 voos) 	kpi14: 75.7020757020757 (819 voos) 
SBKP		kpi01: 86.34366944390429 (200559 voos) 	kpi14: 85.94874403435017 (200523 voos) 
SBME		kpi01: 69.52141057934509 (397 voos) 	kpi14: 89.46459412780656 (579 voos) 
SBMG		kpi01: 61.39705882352941 (272 voos) 	kpi14: 72.99270072992701 (274 voos) 
SBMN		kpi01: 56.01974476282206 (8306 voos) 	kpi14: 55.98693759071117 (8268 voos) 
SBMO		kpi01: 76.3648976760319 (28830 voos) 	kpi14: 89.26044123768558 (28828 voos) 
SBMT		kpi01: 76.8220617202889 (1523 voos) 	kpi14: 23.96 (2500 voos) 
SBNF		kpi01: 70.25488069414317 (3688 voos) 	kpi14: 95.06507592190889 (3688 voos) 
SBNT		kpi01: 73.67514573396926 (7548 voos) 	kpi14: 23.004391630069748 (7742 voos) 
SBPA		kpi01: 87.69052985445238 (104708 voos) 	kpi14: 64.80712506085511 (104757 voos) 
SBPS		kpi01: 75.98833441348023 (24688 voos) 	kpi14: 95.8929077726923 (24689 voos) 
SBPV		kpi01: 64.34258949481432 (14945 voos) 	kpi14: 65.97917501001201 (14982 voos) 
SBRB		kpi01: 66.14307931570762 (6430 voos) 	kpi14: 86.11198490091225 (6358 voos) 
SBRF		kpi01: 87.33836916521402 (129075 voos) 	kpi14: 80.88906806006713 (128989 voos) 
SBRJ		kpi01: 89.65826650065732 (143767 voos) 	kpi14: 12.220672339238387 (143380 voos) 
SBSC		kpi01: 60.91139240506329 (1975 voos) 	kpi14: 37.19939117199391 (3285 voos) 
SBSJ		kpi01: 61.15655316720563 (5257 voos) 	kpi14: 44.4935691318328 (4976 voos) 
SBSL		kpi01: 77.4542191769648 (24519 voos) 	kpi14: 87.39251544144362 (24771 voos) 
SBSM		kpi01: 61.109298531810765 (3065 voos) 	kpi14: 51.79710144927536 (3450 voos) 
SBSP		kpi01: 88.49659088636955 (250065 voos) 	kpi14: 61.414348368921466 (249896 voos) 
SBSV		kpi01: 79.30418918521279 (101953 voos) 	kpi14: 91.75052667679192 (102055 voos) 
SBTA		kpi01: 52.9648132059079 (9208 voos) 	kpi14: 37.13751169317119 (4276 voos) 
SBYS		kpi01: 67.68912121510996 (10139 voos) 	kpi14: NaN (0 voos) 
